Muestra,Sigma,Beta,Lambda,Iteraciones,CritParada,CotaError,BitsMantisa,Tiempo
data/X6.txt,3.106,5.37173,1.76409,15,Relativo,0.001,30,1040
data/X6.txt,3.11355,5.39893,1.74842,11,Relativo,0.01,30,740
data/X6.txt,3.07236,5.25391,1.83468,8,Relativo,0.1,30,520
data/X6.txt,4.67578,99.9375,0.00862122,100,Absoluto,0.001,10,13100
data/X6.txt,4.67578,99.9375,0.00862122,100,Absoluto,0.01,10,13030
data/X6.txt,4.67578,99.9375,0.00862122,11,Absoluto,0.1,10,1300
data/X6.txt,4.67578,99.9375,0.00862122,11,Relativo,0.001,10,1330
data/X6.txt,4.67578,99.1875,0.00868988,7,Relativo,0.01,10,790
data/X6.txt,4.66797,93.8125,0.00917053,4,Relativo,0.1,10,400
data/X7.txt,0.5089,3.14584,0.966818,17,Absoluto,0.001,51,60
data/X7.txt,0.508821,3.14508,0.967198,14,Absoluto,0.01,51,50
data/X7.txt,0.516852,3.22363,0.928996,10,Absoluto,0.1,51,30
data/X7.txt,0.509137,3.1481,0.96568,15,Relativo,0.001,51,60
data/X7.txt,0.509452,3.15112,0.964167,12,Relativo,0.01,51,50
data/X7.txt,0.506913,3.12695,0.976387,9,Relativo,0.1,51,30
data/X7.txt,0.5089,3.14584,0.966819,17,Absoluto,0.001,30,470
data/X7.txt,0.508821,3.14508,0.967199,14,Absoluto,0.01,30,370
data/X7.txt,0.516852,3.22363,0.928996,10,Absoluto,0.1,30,260
data/X7.txt,0.509137,3.1481,0.965681,15,Relativo,0.001,30,400
data/X7.txt,0.509452,3.15112,0.964168,12,Relativo,0.01,30,320
data/X7.txt,0.506913,3.12695,0.976388,9,Relativo,0.1,30,240
data/X7.txt,0.959961,99.9375,0.0167542,100,Absoluto,0.001,10,5250
data/X7.txt,0.959961,99.9375,0.0167542,100,Absoluto,0.01,10,5300
data/X7.txt,0.959961,99.9375,0.0167542,11,Absoluto,0.1,10,520
data/X7.txt,0.959961,99.9375,0.0167542,11,Relativo,0.001,10,530
data/X7.txt,0.959961,99.1875,0.0168762,7,Relativo,0.01,10,320
data/X7.txt,0.95752,93.8125,0.0178528,4,Relativo,0.1,10,170
